sample_id,country,location_code,location_name,X1km_square,date,year,pan_trap_station,occurrence_id,taxon_group,taxon_source,English_name,source_taxon_version_key,Order,Family,floral_unit,total_floral_units
3054144,England,76,near West Itchenor,SU7800,16/06/2017,2017,1,6003146,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,3
3054249,England,76,near West Itchenor,SU7800,16/06/2017,2017,2,6003401,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,6
3054249,England,76,near West Itchenor,SU7800,16/06/2017,2017,2,6003402,flowering plant,Stellaria graminea,Lesser Stitchwort,NBNSYS0000003037,Caryophyllales,Caryophyllaceae,individual flower,160
3054249,England,76,near West Itchenor,SU7800,16/06/2017,2017,2,6003403,flowering plant,Lotus pedunculatus,Greater Bird's-foot-trefoil,NBNSYS0000003260,Fabales,Fabaceae,flower head,6
3054249,England,76,near West Itchenor,SU7800,16/06/2017,2017,2,6003404,flowering plant,Vicia sativa,Common Vetch,NBNSYS0000014093,Fabales,Fabaceae,individual flower,4
3054249,England,76,near West Itchenor,SU7800,16/06/2017,2017,2,6003405,flowering plant,Oenanthe crocata,Hemlock Water-dropwort,NBNSYS0000003693,Apiales,Apiaceae,flower umbel,4
3054547,England,76,near West Itchenor,SU7800,16/06/2017,2017,3,6003994,flowering plant,Ranunculus repens,Creeping Buttercup,NBNSYS0000002709,Ranunculales,Ranunculaceae,individual flower,6
3054547,England,76,near West Itchenor,SU7800,16/06/2017,2017,3,6003995,flowering plant,Stellaria media,Common Chickweed,NHMSYS0000464009,Caryophyllales,Caryophyllaceae,individual flower,6
3054547,England,76,near West Itchenor,SU7800,16/06/2017,2017,3,6003996,flowering plant,Rumex crispus,Curled Dock,NBNSYS0000003789,Caryophyllales,Polygonaceae,flower spike,4
3054547,England,76,near West Itchenor,SU7800,16/06/2017,2017,3,6003997,flowering plant,Anagallis arvensis,Scarlet Pimpernel,NBNSYS0000003943,Ericales,Primulaceae,individual flower,2
3054564,England,76,near West Itchenor,SU7800,16/06/2017,2017,4,6004026,flowering plant,Rumex crispus,Curled Dock,NBNSYS0000003789,Caryophyllales,Polygonaceae,flower spike,8
