sample_id,country,location_code,location_name,X1km_square,sample_projection,land_cover,date,year,sample_media,digitised_by,recorder_type,habitat,habitat_other_detail,target_flower,target_flower_corrected,target_other_name,target_other_name_corrected,target_flower_family,flower_cover,floral_unit_count,floral_unit,flower_context,count_start_time,cloud_cover,sunshine,wind_speed,habitat_type,flower_structure,bumblebees,honeybees,solitary_bees,wasps,hoverflies,other_flies,butterflies_moths,beetles,insects_small,insects_other,all_insects_total
3054602,England,76,near West Itchenor,SU7800,OSGB,agricultural,16/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Other - please describe below,scrub,Bramble (Blackberry) - Rubus fruticosus,Bramble (Blackberry) - Rubus fruticosus,NA,NA,Rosaceae,Target flowers cover less than half of patch,24,individual flower,Growing in a larger patch of the same flower,11:27,Half blue and half cloud,Partly in sun and partly shaded,Leaves moving gently all the time,semi-natural,open,3,2,0,0,0,1,0,0,0,0,6
3054606,England,76,near West Itchenor,SU7800,OSGB,agricultural,16/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Other - please describe below,tall herbs,Hogweed - Heracleum sphondylium,Hogweed - Heracleum sphondylium,NA,NA,Apiaceae,Target flowers cover about half of patch,7,flower umbel,More or less isolated,14:10,Half blue and half cloud,Entirely shaded,Leaves moving gently all the time,semi-natural,open,0,0,1,0,0,4,0,1,1,1,8
3070263,England,96,LLanrothal,SO4718,OSGB,agricultural,21/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Farm crops or grassy pasture,NA,Other - please describe below,Other - please describe below,Lotus corniculatus,Lotus corniculatus,Fabaceae,Target flowers cover more than half of patch,85,flower head,Growing in a larger patch of many different flowers,11:25,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,agricultural,closed,1,0,1,0,0,0,0,0,0,0,2
3070296,England,96,LLanrothal,SO4718,OSGB,agricultural,21/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Farm crops or grassy pasture,NA,Other - please describe below,Other - please describe below,Trifolium pratense,Trifolium pratense,Fabaceae,Target flowers cover less than half of patch,15,flower head,Growing in a larger patch of many different flowers,11:40,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,agricultural,closed,0,0,1,0,0,0,0,0,0,0,1
3070402,England,5,near Longtown,SO3129,OSGB,agricultural,22/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Woodland,NA,Other - please describe below,Other - please describe below,Digitalis purpurea,Digitalis purpurea,Plantaginaceae,Target flowers cover more than half of patch,80,individual flower,More or less isolated,10:38,All or mostly blue,Entirely in sunshine,Leaves still/moving occasionally,semi-natural,closed,2,0,0,0,2,2,0,0,0,0,6
3070437,England,5,near Longtown,SO3129,OSGB,agricultural,22/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Grassland with wild flowers (e.g. meadow),NA,Other - please describe below,Other - please describe below,Trifolium pratense,Trifolium pratense,Fabaceae,Target flowers cover about half of patch,43,flower head,Growing in a larger patch of many different flowers,11:00,Half blue and half cloud,Entirely in sunshine,Leaves moving gently all the time,semi-natural,closed,0,0,0,0,0,0,0,0,0,0,0
3070457,England,5,near Longtown,SO3129,OSGB,agricultural,22/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Grassy verge or hedgerow edge,NA,Other - please describe below,Other - please describe below,Filipendula ulmaria,Filipendula ulmaria,Rosaceae,Target flowers cover more than half of patch,11,flower umbel,Growing in a larger patch of the same flower,12:00,All or mostly cloud,Entirely in sunshine,Leaves moving gently all the time,semi-natural,open,1,0,1,0,4,0,0,0,0,0,6
3070462,England,5,near Longtown,SO3129,OSGB,agricultural,22/06/2017,2017,0,147199,I am confident in identifying the commonly-occurring pollinating insects to species level,Grassy verge or hedgerow edge,NA,Hogweed - Heracleum sphondylium,Hogweed - Heracleum sphondylium,NA,NA,Apiaceae,Target flowers cover about half of patch,8,flower umbel,Growing in a larger patch of the same flower,12:50,Half blue and half cloud,Partly in sun and partly shaded,Leaves moving gently all the time,semi-natural,open,0,0,0,0,4,4,0,0,0,0,8
3070568,Wales,59,Wileirog,SN6185,OSGB,agricultural,21/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Farm crops or grassy pasture,NA,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium arvense,Cirsium arvense,Asteraceae,Target flowers cover more than half of patch,8,flower head,Growing in a larger patch of the same flower,12:00,All or mostly cloud,Entirely shaded,Leaves still/moving occasionally,agricultural,open,0,0,0,0,1,8,0,1,10,5,25
3070582,Wales,59,Wileirog,SN6185,OSGB,agricultural,21/08/2017,2017,0,147349,I am familiar with recognising the main groups of pollinating insect,Farm crops or grassy pasture,NA,Other - please describe below,Thistle - Cirsium or Carduus,Cirsium vulgare,Cirsium vulgare,Asteraceae,Target flowers cover more than half of patch,4,flower head,Growing in a larger patch of the same flower,12:11,All or mostly cloud,Entirely shaded,Leaves moving gently all the time,agricultural,open,0,0,0,0,0,4,0,1,5,0,10
